id,lat,lng,horario,tipo,direccion
182,-34.63394,-58.61341, 06:00 a 23:00 hs,Centro de Carga,PRESIDENTE PERON 4787
183,-34.63439,-58.57069, 06:00 a 23:00 hs,Centro de Carga,SAENZ PEÑA 1041
184,-34.65998,-58.44228, 09:00 a 21:00 hs,Centro de Carga,LAFUENTE 2851
185,-34.66032,-58.44194, 06:00 a 23:00 hs,Centro de Carga,LAFUENTE 2808
186,-34.63398,-58.38263, 06:00 a 23:00 hs,Centro de Carga,CARRILLO 234
187,-34.65949,-58.44505, 06:00 a 23:00 hs,Centro de Carga,CHILAVERT 3139
188,-34.64079,-58.43962, 06:00 a 23:00 hs,Centro de Carga,ZAÑARTU 1844
189,-34.66087,-58.45136, 06:00 a 23:00 hs,Centro de Carga,JANER 3550
190,-34.61784,-58.51299, 06:00 a 23:00 hs,Centro de Carga,NAMUNCURA 100
191,-34.65553,-58.42853, 06:00 a 23:00 hs,Centro de Carga,TABARE 1940
192,-34.66282,-58.45224, 06:00 a 23:00 hs,Centro de Carga,PLUMERILLO 3700
193,-34.58358,-58.48936, 08:00 a 21:00 hs,Centro de Carga,ECHEVERRIA 5847
194,-34.57335,-58.48764, 05:30 a 23:59 hs,Centro de Carga,AV. TRIUNVIRATO 4846
195,-34.56984,-58.47866, 08:00 a 20:00 hs,Centro de Carga,MONROE 4360
196,-34.56793,-58.47806, 08:00 a 20:00 hs,Centro de Carga,ROOSEVELT FRANKLIN D. 4199
197,-34.74817,-58.41135, 09:00 a 18:00 hs,Centro de Carga,LAS HERAS 1163
198,-34.47849,-58.55217, 09:00 a 18:00 hs,Centro de Carga,ELFLEIN 17 S:F
199,-34.4679,-58.55369, 10:00 a 18:00 hs,Centro de Carga,PADRE ACEVEDO 2240
200,-34.35109,-58.79457, 08:00 a 18:00 hs,Centro de Carga,RIVADAVIA 400
201,-34.35064,-58.79515, 08:00 a 18:00 hs,Centro de Carga,RIVADAVIA 451
202,-34.3483,-58.79224, 08:00 a 18:00 hs,Centro de Carga,ASBORNO 428
203,-34.56728,-58.4371, 09:00 a 14:00 hs 17:00 a 21:00 hs,Centro de Carga,ARCE 940
204,-34.55404,-58.45278, 09:00 a 15:00 hs,Centro de Carga,AV. MONROE 1655
205,-34.56729,-58.4371, 08:00 a 20:00 hs,Centro de Carga,ARCE 940
206,-34.55529,-58.46214, 07:00 a 22:00 hs,Centro de Carga,AV. CONGRESO 2368
207,-34.56515,-58.45476, 09:00 a 18:00 hs,Centro de Carga,LA PAMPA 2451
208,-34.55282,-58.44072, 10:00 a 18:00 hs,Centro de Carga,ECHEVERRÍA 908
209,-34.56515,-58.45476, 09:00 a 18:00 hs,Centro de Carga,LA PAMPA 2451
210,-34.55282,-58.69766, 07:00 a 19:00 hs,Centro de Carga,PTE PERON 111
211,-34.58156,-58.68398, 08:00 a 14:00 hs 17:00 a 23:00 hs,Centro de Carga,SANTA CRUZ 2543
212,-34.55604,-58.6825, 09:00 a 13:00 hs 16:00 a 20:00 hs,Centro de Carga,MISIONES 706
213,-35.05311,-58.76056, 08:00 a 20:00 hs,Centro de Carga,RIVADAVIA 783
214,-35.05852,-58.75453, 06:00 a 14:00 hs,Centro de Carga,LEANDRO N. ALEM 501
215,-35.05908,-58.75482, 09:00 a 18:00 hs,Centro de Carga,LEANDRO N. ALEM 501
216,-35.0587,-58.75398, 09:00 a 18:00 hs,Centro de Carga,LIBERTAD 427
217,-35.05868,-58.75477, 08:00 a 23:00 hs,Centro de Carga,ALEM 630
218,-35.05866,-58.75522, 09:00 a 18:00 hs,Centro de Carga,LIBERTAD 31
219,-35.05953,-58.75563, 08:00 a 16:00 hs,Centro de Carga,ALEM 625
220,-34.59166,-58.44758, 15:00 a 23:00 hs,Centro de Carga,AV CORRIENTES 6201
221,-34.58523,-58.49982, 00:00 a 00:00 hs,Centro de Carga,AV. FEDERICO LACROZE 4171
222,-34.58718,-58.45538, 08:00 a 23:00 hs,Centro de Carga,AV GUZMÁN 702
223,-34.72109,-58.57004, 09:00 a 20:00 hs,Centro de Carga,AV. CRISTIANIA 5872
